Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,5-14 years,0,46,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,15-24 years,0,154,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,18-29 years,0,307,0,0,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,25-34 years,0,390,10,0,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,30-49 years,45,"1,288",75,22,0,100,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,35-44 years,22,561,31,10,0,43,
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,45-54 years,57,"1,227",101,32,0,131,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,50-64 years,201,"3,817",365,107,16,475,
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,55-64 years,165,"3,102",303,87,12,393,
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,65-74 years,386,"5,024",514,181,13,732,
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,75-84 years,661,"6,985",726,286,15,"1,115",
11/18/2020,2/1/2020,11/14/2020,Indiana,Female,85 years and over,"1,067","10,524",845,323,24,"1,612",
11/18/2020,2/1/2020,11/14/2020,Iowa,All Sexes,All Ages,"2,145","25,897","1,964",667,86,"3,528",
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,All Ages,"1,119","13,134","1,078",383,34,"1,848",
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,Under 1 year,0,58,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,0-17 years,0,131,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,1-4 years,0,16,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,5-14 years,0,28,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,15-24 years,0,167,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,18-29 years,0,248,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,25-34 years,0,257,0,0,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,30-49 years,42,814,31,14,0,59,
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,35-44 years,22,368,13,0,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,45-54 years,50,753,48,23,0,76,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,50-64 years,167,"2,274",163,65,0,269,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,55-64 years,133,"1,820",129,49,0,216,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,65-74 years,221,"2,841",243,81,0,392,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,75-84 years,306,"3,217",294,103,0,506,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Male,85 years and over,380,"3,609",339,119,0,609,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,All Ages,"1,026","12,762",886,284,52,"1,680",
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,Under 1 year,0,53,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,0-17 years,0,88,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,1-4 years,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,5-14 years,0,15,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,15-24 years,0,49,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,18-29 years,0,80,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,25-34 years,0,104,0,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,30-49 years,16,402,16,0,0,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,35-44 years,0,193,0,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,45-54 years,19,410,23,0,0,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,50-64 years,97,"1,401",103,40,0,165,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,55-64 years,83,"1,139",84,33,0,138,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,65-74 years,155,"2,032",154,56,12,265,
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,75-84 years,258,"2,946",236,77,12,429,
11/18/2020,2/1/2020,11/14/2020,Iowa,Female,85 years and over,495,"5,813",370,103,22,784,
11/18/2020,2/1/2020,11/14/2020,Kansas,All Sexes,All Ages,"1,316","22,409","1,618",536,90,"2,487",
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,All Ages,740,"11,675",879,323,43,"1,338",
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,Under 1 year,0,78,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,0-17 years,0,142,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,1-4 years,0,11,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,5-14 years,0,25,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,15-24 years,0,211,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,18-29 years,0,334,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,25-34 years,0,318,0,0,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,30-49 years,36,847,33,12,0,60,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,35-44 years,12,401,16,0,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,45-54 years,36,684,28,12,0,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,50-64 years,105,"2,079",124,51,0,187,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,55-64 years,89,"1,674",108,45,0,161,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,65-74 years,163,"2,531",208,72,0,308,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,75-84 years,223,"2,809",239,101,14,374,
11/18/2020,2/1/2020,11/14/2020,Kansas,Male,85 years and over,210,"2,933",268,86,0,399,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,All Ages,576,"10,733",739,213,47,"1,149",
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,Under 1 year,0,62,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,0-17 years,0,96,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,1-4 years,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,5-14 years,0,16,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,15-24 years,0,65,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,18-29 years,0,98,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,25-34 years,0,117,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,30-49 years,12,449,14,0,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,35-44 years,0,213,0,0,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,45-54 years,12,425,22,0,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,50-64 years,53,"1,352",96,28,0,127,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,55-64 years,45,"1,091",79,25,0,105,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,65-74 years,90,"1,805",136,34,0,201,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,75-84 years,152,"2,519",184,62,15,289,
11/18/2020,2/1/2020,11/14/2020,Kansas,Female,85 years and over,264,"4,414",306,86,13,497,
11/18/2020,2/1/2020,11/14/2020,Kentucky,All Sexes,All Ages,"1,816","39,742","3,608",838,103,"4,686",
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,All Ages,870,"20,694","1,926",447,51,"2,399",
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,Under 1 year,0,108,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,0-17 years,0,221,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,1-4 years,0,21,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,5-14 years,0,34,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,15-24 years,0,326,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,18-29 years,0,553,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,25-34 years,0,672,13,0,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,30-49 years,33,"2,120",97,16,0,118,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,35-44 years,20,"1,058",48,13,0,56,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,45-54 years,32,"1,647",101,15,0,123,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,50-64 years,129,"4,637",356,64,12,433,
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,55-64 years,106,"3,665",294,51,0,358,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,65-74 years,242,"4,819",498,128,13,624,
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,75-84 years,247,"4,809",565,134,11,689,
11/18/2020,2/1/2020,11/14/2020,Kentucky,Male,85 years and over,218,"3,535",402,105,11,526,
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,All Ages,946,"19,047","1,682",391,52,"2,287",
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,Under 1 year,0,85,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,0-17 years,0,145,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,1-4 years,0,13,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,5-14 years,0,29,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,15-24 years,0,130,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,18-29 years,0,236,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,25-34 years,0,302,12,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,30-49 years,16,"1,124",66,0,0,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,35-44 years,0,518,31,0,0,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,45-54 years,24,"1,054",74,0,0,94,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,50-64 years,102,"3,063",253,51,14,317,
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,55-64 years,87,"2,437",207,46,13,260,
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,65-74 years,171,"3,747",371,79,14,476,
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,75-84 years,253,"4,803",478,119,0,617,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Kentucky,Female,85 years and over,403,"5,929",506,132,12,789,
11/18/2020,2/1/2020,11/14/2020,Louisiana,All Sexes,All Ages,"5,421","42,406","4,272","2,658",75,"7,104",
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,All Ages,"2,873","22,186","2,316","1,461",35,"3,760",
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,Under 1 year,0,138,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,0-17 years,0,282,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,1-4 years,0,32,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,5-14 years,0,56,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,15-24 years,10,364,10,0,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,18-29 years,15,644,20,0,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,25-34 years,22,733,25,12,0,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,30-49 years,149,"2,128",108,68,0,193,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,35-44 years,64,"1,037",58,36,0,87,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,45-54 years,168,"1,652",101,70,0,204,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,50-64 years,528,"4,741",415,270,0,681,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,55-64 years,430,"3,783",349,223,0,561,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,65-74 years,758,"5,276",630,401,11,996,
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,75-84 years,839,"5,185",646,415,0,"1,077",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Male,85 years and over,580,"3,930",495,301,0,778,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,All Ages,"2,548","20,220","1,956","1,197",40,"3,344",
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,Under 1 year,0,125,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,0-17 years,0,191,0,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,1-4 years,0,17,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,5-14 years,0,29,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,15-24 years,0,148,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,18-29 years,11,265,19,10,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,25-34 years,18,345,22,11,0,29,
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,30-49 years,108,"1,159",79,48,0,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,35-44 years,57,552,42,26,0,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,45-54 years,112,"1,028",86,48,0,159,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,50-64 years,397,"3,155",322,196,10,531,
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,55-64 years,325,"2,526",263,165,0,425,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,65-74 years,495,"3,904",393,238,0,657,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,75-84 years,759,"5,104",557,357,0,967,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Louisiana,Female,85 years and over,776,"6,442",579,348,0,"1,015",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,All Sexes,All Ages,188,"12,118",753,46,31,926,
11/18/2020,2/1/2020,11/14/2020,Maine,Male,All Ages,91,"6,343",428,25,16,510,
11/18/2020,2/1/2020,11/14/2020,Maine,Male,Under 1 year,0,29,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Maine,Male,0-17 years,0,56,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Maine,Male,1-4 years,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Male,5-14 years,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Male,15-24 years,0,75,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Maine,Male,18-29 years,0,129,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Male,25-34 years,0,153,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Male,30-49 years,0,460,0,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Male,35-44 years,0,220,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Male,45-54 years,0,397,11,0,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Male,50-64 years,10,"1,218",49,0,0,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Male,55-64 years,0,975,42,0,0,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Male,65-74 years,23,"1,378",96,0,0,113,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Male,75-84 years,26,"1,560",126,0,0,148,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Male,85 years and over,27,"1,542",147,0,0,170,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,All Ages,97,"5,775",325,21,15,416,
11/18/2020,2/1/2020,11/14/2020,Maine,Female,Under 1 year,0,27,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Maine,Female,0-17 years,0,34,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,1-4 years,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,5-14 years,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,15-24 years,0,17,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Maine,Female,18-29 years,0,38,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,25-34 years,0,51,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,30-49 years,0,209,13,0,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,35-44 years,0,102,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,45-54 years,0,211,11,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,50-64 years,0,637,32,0,0,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,55-64 years,0,506,26,0,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,65-74 years,10,"1,005",54,0,0,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,75-84 years,32,"1,467",94,0,0,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Female,85 years and over,49,"2,385",131,11,0,178,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Maine,Unknown,85 years and over,0,0,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Maryland,All Sexes,All Ages,"4,612","46,062","4,279","1,712",128,"7,291",
